"ActivityHour","AVG(StepTotal)"
"18:00:00",599.1699779249448
"19:00:00",583.3907284768212
"17:00:00",550.2328918322296
"12:00:00",548.6420824295011
"14:00:00",540.5135722041259
"13:00:00",537.6981541802388
"16:00:00",496.84564498346197
"10:00:00",481.66523143164693
"11:00:00",456.8867313915858
"09:00:00",433.3018259935553
"08:00:00",427.54457572502685
"15:00:00",406.3191256830601
"20:00:00",353.90507726269317
"21:00:00",308.1381215469613
"07:00:00",306.04940923737917
"22:00:00",237.98783185840708
"06:00:00",178.50805585392052
"23:00:00",122.1328903654485
"05:00:00",43.86909871244635
"00:00:00",42.188436830835116
"01:00:00",23.10289389067524
"02:00:00",17.110396570203644
"04:00:00",12.699570815450643
"03:00:00",6.426580921757771
